_id,category,id,title,description,duration,fullLength,publishedDate,numberOfPlays,isCatchUp,program
6549866,science,6549866,Minimag: la spéléologie tient du sport autant que de la science,Elle compte plus de mille adeptes inscrits en Suisse.,170960,false,2015-02-17T11:45:00Z,306,false,12h45
6554623,histoire,6554623,Enquête HSBC: c'est l'une des affaires les plus vertigineuses de l'histoire bancaire,"Au début, un homme, Hervé Falciani, vole les données d'HSBC, puis des États collaborent avec lui, comme la France et l'Espagne.",147840,false,2015-02-18T18:30:00Z,1230,false,19h30
6568430,histoire,6568430,Minimag: le bistrot la Rotonde à Bienne est un emblème et un lieu chargé d'histoire,La Rotonde est liée à la maison du peuple où se ressemblaient jusque dans les années 1970 mouvements politiques de gauche et syndicats.,170400,false,2015-02-24T11:45:00Z,401,false,12h45
6577174,histoire,6577174,"Le minimag: le café-bar la Clémence à Genève, un lieu chargé d'histoire","Situé sur la place du Bourg-de-Four, il est très apprécié des Genevois.",180200,false,2015-02-27T11:45:00Z,578,false,12h45
6584743,histoire,6584743,"VD: le nouveau magazine mensuel ""Passé simple"" est consacré à l'histoire romande","À l'heure où la presse traverse une période de turbulence, le pari est osé.",172120,false,2015-03-02T17:59:00Z,136,false,Couleurs locales
6588414,histoire,6588414,La longue histoire de la colle,"La colle a plus de 200'000 ans! En Asie, on collait alors les peaux pour créer des abris. Aujourd'hui la colle est partout. On en trouve dans les objets du quotidien, comme nos voitures, mais aussi dans les avions et dans les hôpitaux. Et pour chacune de ces applications, une colle spécifique existe. Quid de la colle universelle? Pour les spécialistes, elle n'existe pas!",337160,false,2015-03-03T19:11:00Z,357,false,A Bon Entendeur
6590800,science,6590800,"Le rendez-vous sciences: Nicolas Grandjean, professeur de physique à l'EPFL, nous parle des LED, la source lumineuse du futur",,524680,false,2015-03-04T11:45:00Z,1683,false,12h45
6620093,histoire,6620093,Mühleberg : l’histoire d’une centrale,"Retour sur l’histoire de la centrale nucléaire de Mühleberg, de sa construction au début des années 70 jusqu’à aujourd’hui !  On y découvre les accidents de parcours, les discussions politiques,  etc…  Cette centrale, l’une des plus vieilles de Suisse, sera définitivement débranchée en 2019 et la population s’interroge sur son démantèlement.",140760,false,2015-03-14T17:16:00Z,99,false,Outre-Zapping
6638442,histoire,6638442,FR: Astrid Epiney est la première femme recteur dans l''histoire de l'Université de Fribourg.,C’est un nouveau visage et une petite révolution pour cette institution qui fête ses 125 ans d'existence. Cette professeur de droit est aussi une férue de course à pied.,141320,false,2015-03-20T17:58:00Z,526,false,Couleurs locales
6649166,histoire,6649166,"Notre rubrique: Histoire de neige, d’abri et d’argent: litige en Lavaux","Un agriculteur croyait son foin bien protégé par un abri acheté presque 15'000 CHF. Or, ce tunnel bâché s’est effondré en son milieu, un matin de février dernier, alors que la publicité le disait résistant au vent et à la neige. Le vendeur rejette tout défaut de fabrication. Selon lui,  les conditions météorologiques expliquent l’affaissement de ce tunnel, que l'agriculteur aurait dû déneiger. Ce dernier réfute l’argument. Contraint d'installer un nouvel abri pour l'alimentation de son bétail, l'agriculteur a accepté une proposition de l'entreprise: un rabais de 40% sur un nouvel abri, plus cher et plus solide que le précédent. Insuffisant, pour l’agriculteur. Un geste commercial appréciable, estime le vendeur. Deux positions irréconciliables.",380160,false,2015-03-24T19:12:00Z,585,false,A Bon Entendeur
6654011,science,6654011,"Minimag: Thierry Courvoisier est astrophysicien, président de l'académie suisse des Sciences","Il a notamment vécu la mission Rosetta de l'intérieur. L'homme est également passionné de navigation, ce qui n'est pas forcément sans rapport.",165440,false,2015-03-26T11:45:00Z,123,false,12h45
6667539,histoire,6667539,Les poussins sont les vedettes du Musée d'histoire naturelle de Fribourg,"Pour Pâques, à peine sortis des oeufs, des centaines de poussins font chaque année sensation.",144640,false,2015-03-31T16:59:00Z,236,false,Couleurs locales
6670080,histoire,6670080,Les grandes éruptions volcaniques de l'histoire,Jacques Deferne Conservateur honoraire muséum histoire naturelle Genève,132120,false,2015-04-01T04:00:00Z,100,false,RTS Découverte
6674223,science,6674223,"Ron Appel, la voix de la science","Ron Appel aurait pu être baryton professionnel. Il a choisi la science. Mais le directeur de l’Institut Suisse de Bioinformatique n'a jamais renoncé. Ses journées commencent par une heure d'exercice vocal pour préparer ses concerts. Face au public, il se transforme",2249440,true,2015-04-02T20:45:00Z,1159,false,Violon Dingue
6674224,science,6674224,"Ron Appel, la voix de la science","Une carrière au service des sciences de la vie et parallèlement, une trajectoire musicale exigeante. Ron Appel, un pionnier dans l’analyse de la protéine est aussi un baryton qui donne entre deux et sept concerts par année.",1161440,false,2015-04-02T20:45:00Z,75,false,Violon Dingue
6675918,histoire,6675918,Iran / Accord sur le nucléaire: une nouvelle page s'écrit dans l'histoire de l'Iran et des États-Unis,Cela faisait plus de 35 ans que le nucléaire posait problème dans les relations entre les deux pays.,117560,false,2015-04-03T17:30:00Z,411,false,19h30
6694753,histoire,6694753,Hockey / Play off: le HC Davos a remporté la 31ème victoire de son histoire face à Zurich,Davos a mené une magnifique finale (3-0).,388040,false,2015-04-11T20:35:00Z,489,false,Sport dernière
6712826,histoire,6712826,Familles Davet et Dubosson: Une Belle Histoire,"Les deux familles mélangent leurs voix pour interpréter en duo cette merveilleuse chanson de Michel Fugain sur le plateau de ""Un Air de Famille"".",133600,false,2015-04-18T18:14:00Z,576,false,Un air de famille
6732748,histoire,6732748,L'histoire du club de basket d'Aigues-Vertes,,204240,false,2015-04-26T16:25:00Z,344,false,Sport dimanche
6748336,histoire,6748336,"Mona et Lisa, ou la véritable histoire des patates de Quéménès","Un conte de Grand Pierre (extrait). Grand Pierre a découvert Quéménès un peu par hasard il y a quelques années. Ce fût immédiatement  le coup de foudre pour l.île et pour ses habitants : David,  Soizic. et les animaux de la ferme.  Au point que tous sont devenus les héros de contes farfelus.",122800,false,2015-05-01T18:14:00Z,176,false,Passe-moi les jumelles
6750452,histoire,6750452,Boxe: Floyd Mayweather et Manny Pacquiao vont s'affronter dans le combat le plus cher de l'histoire,"L'engouement est énorme pour ce déjà surnommé  ""combat du siècle"".",144280,false,2015-05-02T17:30:00Z,1527,false,19h30
6763699,histoire,6763699,"Les invités culturels: Marc Ridet et Stephan Mandrax retracent l’histoire de club de rock "" la Dolce Vita""","A travers textes, photos et affiches, le livre se veut «un cliché artistique et historique de l’époque, mais sans nostalgie.»",539640,false,2015-05-07T10:45:00Z,801,false,12h45
6806261,histoire,6806261,VD: la ville d’Avenches fête 2000 ans d'histoire,"Pour l’occasion, la cité propose de nombreux stands et animations représentatifs de son histoire.",124640,false,2015-05-23T17:30:00Z,885,false,19h30
6808110,histoire,6808110,Ukraine - Chronique d'un déchirement,"Du nationaliste combattant au père de famille étouffé par la propagande en passant par le jeune militant pro-russe...Tous vivent au quotidien dans une incertitude paralysante, déchirés entre l'espoir et la peur. Un journaliste suisse a sillonné l'Ukraine d'est en ouest. Journal d'un pays aux fissures profondes.",3160320,true,2015-05-24T18:38:00Z,3064,false,Histoire vivante
6818889,science,6818889,"Claude Stricker, Directeur exécutif de l'académie internationale des sciences et des techniques du sport",,421920,false,2015-05-28T04:00:00Z,413,false,Le Journal du matin
6856046,histoire,6856046,Histoire petites annonces: l'analyse de Pascal Jeannerat,,108040,false,2015-06-10T17:30:00Z,295,false,19h30
6856052,histoire,6856052,L'histoire des petites annonces est liée à celle de la presse,"Les journaux n'ont plus le monopole, les sites de petites annonces s'imposent.",116960,false,2015-06-10T17:30:00Z,443,false,19h30
6863458,histoire,6863458,ZH: un organisme de prévention des toxicomanies organise des balades sur les lieux clés de l’histoire de la drogue,Une balade pour se souvenir des scènes ouvertes de la drogue à Zurich.,127560,false,2015-06-13T17:30:00Z,406,false,19h30
6870757,histoire,6870757,L'histoire des affiches politiques,"Lors de sa troisième sortie à Bâle, le bus politbox s'intéresse à l'art et à son rapport à la politique dans l'histoire au travers des affiches de campagne.",214240,false,2015-06-15T16:51:00Z,59,false,Info en vidéos
6875341,histoire,6875341,"Fiscalité: ""le vent de l'histoire finira par toucher la Suisse"" selon Moscovici","Le commissaire européen chargé de la fiscalité, Pierre Moscovici, a évoqué le projet d'harmonisation des impôts de l'UE pour lutter contre l'optimisation fiscale des multinationales dans une interview avec la RTS.",102320,false,2015-06-17T14:14:00Z,58,false,Vidéos en bref
6884601,geographie,6884601,"Migration 2 / 2: le point avec prof. Etienne Piguet, géographie, Neuchâtel",,32200,false,2015-06-21T17:30:00Z,508,false,19h30
6884623,geographie,6884623,"Migration 1 / 2: le point avec prof. Etienne Piguet, géographie, Neuchâtel",,82840,false,2015-06-21T17:30:00Z,623,false,19h30
6892487,science,6892487,"Le rendez-vous sciences: Sylvia Ekström, astronome à l’Observatoire de Genève, nous explique pourquoi le temps atomique et le temps astronomique divergent",,592280,false,2015-06-24T10:45:00Z,699,false,12h45
6895816,science,6895816,Les patois sont à l'honneur à l'Institut des sciences du language à Neuchâtel,RTS.ch lance dans le même temps une plateforme qui permet de déterminer selon vos expressions votre provenance régionale.,363920,false,2015-06-25T16:59:00Z,2422,false,Couleurs locales
6904319,histoire,6904319,Il ne voulait pas de moi !,Talk show présenté par Sophie Davant.,3923080,true,2015-06-29T11:15:00Z,239,false,Toute une histoire
6904404,histoire,6904404,VD: Avenches fête ses 2000 ans d'Histoire,,238320,false,2015-06-29T17:00:00Z,246,false,Couleurs d'été
6904440,histoire,6904440,"GE: le musée Rath présente l'histoire du panorama avec ""J'aime les panoramas""",Cette exposition fait le tour de la question du point de vue artistique.,137720,false,2015-06-29T17:30:00Z,331,false,19h30
6924591,histoire,6924591,Canicule: le Musée d'art et d'histoire de Genève a été exceptionnellement fermé,Les tableaux souffrent aussi des variations exceptionnelles de température.,122560,false,2015-07-07T17:30:00Z,712,false,19h30
6932091,geographie,6932091,Entretien avec le géographe Pierre Dessemontet à la gare de Chambrelien (NE),Il revient sur la question de la mobilité dans le canton de Neuchâtel.,170000,false,2015-07-09T17:00:00Z,85,false,Couleurs d'été
6934493,histoire,6934493,GE: Procter et Gamble vient d'annoncer la plus grosse vente de son histoire,"Cette opération pourrait signifier, à terme, une délocalisation.",144680,false,2015-07-10T17:30:00Z,838,false,19h30
6954942,histoire,6954942,FR: le déménagement du musée d'art et d'histoire durera un an et demi,Sa collection de 45'000 objets témoigne de l'histoire du canton.,98960,false,2015-07-21T10:45:00Z,197,false,12h45
6991779,histoire,6991779,Anno 1914 - La Suisse dans l'Histoire 1/3,"1914... à la veille de la Première Guerre mondiale, l'Europe se cherche, entre modernité et tradition, entre optimisme et doutes. Mais quel est alors le visage de la Suisse et de ses habitants ? Une vingtaine d'hommes, de femmes et d'enfants ont été choisis pour vivre « à l'ancienne », au coeur de l'Oberland zurichois.",2746240,true,2015-08-09T19:07:00Z,1184,false,Histoire vivante
7006307,histoire,7006307,Anno 1914 - La Suisse dans l'Histoire 2/3,Comment vivait-on en Suisse il y a tout juste cent ans ? Comment évoluer au coeur d'une Europe qui bascule dans la Grande Guerre ? Une vingtaine de personnes ont accepté d'être plongées dans le passé pour retracer le quotidien d'une famille d'industriels et celui d'une famille de la classe ouvrière.,2886920,true,2015-08-16T18:38:00Z,653,false,Histoire vivante
7015919,science,7015919,Violent incendie à la Cité des sciences à Paris,Un violent incendie a touché la Cité des sciences à Paris dans la nuit de mercredi à jeudi. Le feu a détérioré des milliers de mètres carrés.,78680,false,2015-08-20T11:38:02Z,134,false,Vidéos en bref
7022392,histoire,7022392,L'histoire de... / Basketball: l'équipe d'Aigues-Vertes a vécu une expérience incroyable,Ces sportifs vivant avec une déficience intellectuelle faisaient partie de la délégation suisse des Summer Games.,155440,false,2015-08-23T16:27:00Z,71,false,Sport dimanche
7023595,histoire,7023595,Anno 1914 - La Suisse dans l'Histoire 3/3,"Alors que l'Europe vient de basculer dans la Grande Guerre, la Suisse fait face, en 1914, à une situation sociale, politique et économique complexe. Pour retracer le quotidien des habitants de ce pays, une vingtaine d'hommes, de femmes et d'enfants ont accepté de vivre comme il y a cent ans. Trois historiens romands décryptent cette captivante immersion dans le passé.",2756320,true,2015-08-23T18:38:00Z,682,false,Histoire vivante
7024401,histoire,7024401,Dada de Germano Zullo & Albertine,"Roger Canasson et Dada sont des champions de saut d’obstacles. Ils sont presque invincibles, car ils forment une paire parfaite.",331240,true,2015-08-24T08:22:00Z,177,false,La tête dans les histoires
7027092,histoire,7027092,Le bon Docteur Poutingue d'Olivier Douzou & José Parrondo,"Branle-bas de combat chez les poux: depuis que le docteur Poutingue soigne ses patients avec sa poutingue magique, des cheveux apparaissent sur la tête de ces derniers.",302160,true,2015-08-25T08:25:00Z,212,false,La tête dans les histoires
